similarity,skill_a,skill_b
0.93,fp-pragmatic,fp-ts-pragmatic
0.93,error-debugging-error-analysis,error-diagnostics-error-analysis
0.91,code-documentation-doc-generate,documentation-generation-doc-generate
0.89,hig-components-controls,hig-components-menus
0.89,brand-guidelines-anthropic,brand-guidelines-community
0.88,hig-inputs,hig-technologies
0.88,google-sheets-automation,google-slides-automation
0.88,google-drive-automation,google-slides-automation
0.88,google-drive-automation,google-sheets-automation
0.88,docx-official,pptx-official
0.88,code-refactoring-refactor-clean,codebase-cleanup-refactor-clean
0.87,code-review-ai-ai-review,performance-testing-review-ai-review
0.86,error-debugging-error-trace,error-diagnostics-error-trace
0.86,azure-cosmos-py,azure-cosmos-rust
0.85,dbos-python,dbos-typescript
0.85,azure-resource-manager-mysql-dotnet,azure-resource-manager-postgresql-dotnet
0.83,hig-components-menus,hig-technologies
0.83,hig-components-menus,hig-inputs
0.83,hig-components-controls,hig-technologies
0.83,hig-components-controls,hig-inputs
0.83,google-calendar-automation,google-docs-automation
0.82,codebase-cleanup-deps-audit,dependency-management-deps-audit
0.82,agents-v2-py,hosted-agents-v2-py
0.8,azure-ai-document-intelligence-dotnet,azure-ai-document-intelligence-ts
0.8,azure-ai-agents-persistent-dotnet,azure-ai-agents-persistent-java
0.79,dbos-golang,dbos-typescript
0.79,dbos-golang,dbos-python
0.79,code-refactoring-tech-debt,codebase-cleanup-tech-debt
0.78,senior-architect,senior-fullstack
0.75,pitch-psychologist,sequence-psychologist
0.75,onboarding-psychologist,sequence-psychologist
0.75,onboarding-psychologist,pitch-psychologist
0.75,headline-psychologist,sequence-psychologist
0.75,headline-psychologist,pitch-psychologist
0.75,headline-psychologist,onboarding-psychologist
0.75,gmail-automation,google-docs-automation
0.75,gmail-automation,google-calendar-automation
0.75,copywriting-psychologist,sequence-psychologist
0.75,copywriting-psychologist,pitch-psychologist
0.75,copywriting-psychologist,onboarding-psychologist
0.75,copywriting-psychologist,headline-psychologist
0.75,azure-resource-manager-redis-dotnet,azure-resource-manager-sql-dotnet
0.73,azure-messaging-webpubsubservice-py,azure-web-pubsub-ts
0.73,azure-ai-voicelive-dotnet,azure-ai-voicelive-ts
0.71,dropbox-automation,one-drive-automation
0.69,azure-storage-blob-py,azure-storage-blob-rust
0.69,azure-ai-voicelive-py,azure-ai-voicelive-ts
0.69,azure-ai-voicelive-dotnet,azure-ai-voicelive-py
0.68,asana-automation,linear-automation
0.67,ux-persuasion-engineer,visual-emotion-engineer
0.67,sequence-psychologist,subject-line-psychologist
0.67,scarcity-urgency-psychologist,sequence-psychologist
0.67,pitch-psychologist,subject-line-psychologist
0.67,pitch-psychologist,scarcity-urgency-psychologist
0.67,onboarding-psychologist,subject-line-psychologist
0.67,onboarding-psychologist,scarcity-urgency-psychologist
0.67,internal-comms-anthropic,internal-comms-community
0.67,headline-psychologist,subject-line-psychologist
0.67,headline-psychologist,scarcity-urgency-psychologist
0.67,copywriting-psychologist,subject-line-psychologist
0.67,copywriting-psychologist,scarcity-urgency-psychologist
0.67,brand-perception-psychologist,sequence-psychologist
0.67,brand-perception-psychologist,pitch-psychologist
0.67,brand-perception-psychologist,onboarding-psychologist
0.67,brand-perception-psychologist,headline-psychologist
0.67,brand-perception-psychologist,copywriting-psychologist
0.67,azure-servicebus-dotnet,azure-servicebus-py
0.67,azure-resource-manager-cosmosdb-dotnet,azure-resource-manager-sql-dotnet
0.67,azure-resource-manager-cosmosdb-dotnet,azure-resource-manager-redis-dotnet
0.67,azure-mgmt-fabric-dotnet,azure-resource-manager-sql-dotnet
0.67,azure-mgmt-fabric-dotnet,azure-resource-manager-redis-dotnet
0.67,asana-automation,render-automation
0.67,angular-ui-patterns,react-ui-patterns
0.64,lyria,veo
0.64,linear-automation,render-automation
0.64,imagen,veo
0.64,imagen,lyria
0.64,azure-mgmt-apimanagement-dotnet,azure-mgmt-fabric-dotnet
0.62,google-docs-automation,google-slides-automation
0.62,google-docs-automation,google-sheets-automation
0.62,google-docs-automation,google-drive-automation
0.62,google-calendar-automation,google-slides-automation
0.62,google-calendar-automation,google-sheets-automation
0.62,google-calendar-automation,google-drive-automation
0.62,azure-appconfiguration-py,azure-appconfiguration-ts
0.61,notion-automation,zendesk-automation
0.6,tdd-workflows-tdd-cycle,tdd-workflows-tdd-refactor
0.6,scarcity-urgency-psychologist,subject-line-psychologist
0.6,hig-foundations,hig-platforms
0.6,hig-components-content,hig-components-layout
0.6,emotional-arc-designer,loss-aversion-designer
0.6,context-management-context-restore,context-management-context-save
0.6,code-refactoring-context-restore,context-management-context-restore
0.6,brand-perception-psychologist,subject-line-psychologist
